word,emotion
happy,happy
happiness,happy
good,happy
great,happy
excellent,happy
fabulous,happy
nice,happy
fantastic,happy
beautiful,happy
better,happy
best,happy
super,happy
mind-blowing,happy
bad,sad
sad,sad
sadness,sad
worse,sad
worst,sad
dirty,sad
hate,sad
die,depressed
dead,depressed
kill,depressed
killed,depressed
killing,depressed
suicide,depressed
blood,depressed
knife,depressed
murder,depressed
grief,depressed
sorrow,depressed
mournful,depressed
mournfullness,depressed
anguish,depressed
stab,depreesed
stabbed,depressed
idiot,angry
stupid,angry
hell,angry
